coord_um_t_5ps	rho_g_cc_t_5ps	Te_eV_t_5ps	Ti_eV_t_5ps
0	2.2	0.031662	0.036844
0.00052291	2.2	0.03189	0.037108
0.0010406	2.2	0.032127	0.037413
0.0015531	2.2	0.032366	0.037719
0.0020605	2.2	0.032618	0.038019
0.0025628	2.2	0.032864	0.038315
0.0030601	2.2	0.033107	0.038616
0.0035524	2.2	0.033364	0.038927
0.0040398	2.2	0.033628	0.039246
0.0045223	2.2	0.033891	0.039567
0.005	4.5	0.035065	0.038075
0.005606799999999999	4.5	0.03537	0.038424
0.0062129	4.5	0.035686	0.038793
0.0068185	4.5	0.036035	0.039167
0.0074235	4.5	0.036397	0.039553
0.0080278	4.5	0.03677	0.039956
0.0086316	4.5	0.037158	0.040369
0.0092347	4.5	0.037548	0.040791
0.0098373	4.5	0.037938	0.041219
0.010439	4.5	0.038338	0.041668
0.011041	4.5	0.038745	0.042117
0.011641	4.5	0.039188	0.042621
0.012241	4.5	0.039629	0.043126
0.012841	4.5	0.040091	0.043584
0.01344	4.5	0.040563	0.044084
0.014038	4.5	0.04104	0.044613
0.014636	4.5	0.041519	0.045157
0.015233	4.5	0.042011	0.045685
0.01583	4.5	0.04256	0.046228
0.016426	4.5	0.04312	0.046779
0.017021	4.5	0.043691	0.047356
0.017616	4.5	0.044263	0.047933
0.01821	4.5	0.044848	0.048495
0.018803	4.5	0.045463	0.049145
0.019396	4.5	0.046086	0.049781
0.019989	4.5	0.046718	0.050429
0.020581	4.5	0.047349	0.050991
0.021172	4.5	0.048009	0.05168
0.021762	4.5	0.048682	0.052391
0.022352	4.5	0.049367	0.053118
0.022942	4.5	0.050067	0.053856
0.023531	4.5	0.050776	0.05459
0.024119	4.5	0.051542	0.055395
0.024707	4.5	0.052313	0.056203
0.025294	4.5	0.053178	0.057034
0.02588	4.5	0.054035	0.057865
0.026466	4.5	0.054957	0.05876
0.027051	4.5	0.055857	0.059641
0.027636	4.5	0.056772	0.060544
0.02822	4.5	0.057608	0.061378
0.028804	4.5	0.058489	0.062261
0.029387	4.5	0.059407	0.063193
0.029969	4.5	0.060314	0.064124
0.030551	4.5	0.061231	0.06507300000000001
0.031132	4.5	0.062134	0.066024
0.031713	4.5	0.063137	0.067053
0.032293	4.5	0.064193	0.06812699999999999
0.032872	4.5	0.065208	0.069184
0.033451	4.5	0.066345	0.070267
0.03403	4.5	0.067507	0.071377
0.034607	4.5	0.068643	0.072489
0.035184	4.5	0.06988900000000001	0.073675
0.035761	4.5	0.071177	0.074881
0.036337	4.5	0.072435	0.076095
0.036913	4.5	0.07371	0.077336
0.037487	4.5	0.07501099999999999	0.078614
0.038062	4.5	0.076332	0.079917
0.038635	4.5	0.07771	0.081252
0.039209	4.5	0.07910300000000001	0.08261499999999999
0.039781	4.5	0.080524	0.08401699999999999
