coord_um_t_5ps	rho_g_cc_t_5ps	Te_eV_t_5ps	Ti_eV_t_5ps
-0.00073744	2.0682	0.085336	0.091817
-0.00018249	2.0399	0.085452	0.091479
0.00037445	2.0185	0.086273	0.092117
0.00093117	1.9996	0.087218	0.092769
0.0014893	1.9847	0.08823400000000001	0.09359099999999999
0.0020461	1.9695	0.089327	0.09447800000000001
0.0026017	1.9574	0.090463	0.095403
0.0031549	1.9456	0.091733	0.09643
0.0037059	1.9313	0.092928	0.09741900000000001
0.0042556	1.9195	0.094164	0.099162
0.0048032	3.3977	0.07890999999999999	0.080764
0.005606799999999999	4.5	0.093559	0.097414
0.0062129	4.5	0.09547799999999999	0.099146
0.0068185	4.5	0.097467	0.10079
0.0074235	4.5	0.09959899999999999	0.1031
0.0080278	4.5	0.10176	0.10484
0.0086316	4.5	0.10383	0.10674
0.0092347	4.5	0.10599	0.10873
0.0098373	4.5	0.10813	0.11072
0.010439	4.5	0.11024	0.11271
0.011041	4.5	0.11245	0.11483
0.011641	4.5	0.11466	0.11696
0.012241	4.5	0.11685	0.1191
0.012841	4.5	0.11921	0.12139
0.01344	4.5	0.12151	0.12365
0.014038	4.5	0.12377	0.12591
0.014636	4.5	0.12622	0.12838
0.015233	4.5	0.12867	0.1309
0.01583	4.5	0.13106	0.13345
0.016426	4.5	0.13367	0.136
0.017021	4.5	0.13675	0.13884
0.017616	4.5	0.13972	0.14166
0.01821	4.5	0.14273	0.14451
0.018803	4.5	0.1456	0.14733
0.019396	4.5	0.1488	0.15044
0.019989	4.5	0.15242	0.15394
0.020581	4.5	0.15574	0.15762
0.021172	4.5	0.15947	0.16123
0.021762	4.5	0.16301	0.16458
0.022352	4.5	0.16653	0.16786
0.022942	4.5	0.17021	0.17122
0.023531	4.5	0.17405	0.17472
0.024119	4.5	0.17805	0.17773
0.024707	4.5	0.18211	0.18136
0.025294	4.5	0.18631	0.18508
0.02588	4.5	0.19057	0.18887
0.026466	4.5	0.19494	0.19272
0.027051	4.5	0.1991	0.19642
0.027636	4.5	0.20312	0.19999
0.02822	4.5	0.20734	0.20375
0.028804	4.5	0.21176	0.20757
0.029387	4.5	0.2163	0.21144
0.029969	4.5	0.22043	0.21538
0.030551	4.5	0.22452	0.2193
0.031132	4.5	0.22774	0.22343
0.031713	4.5	0.23111	0.22793
0.032293	4.5	0.23583	0.23283
0.032872	4.5	0.24093	0.23778
0.033451	4.5	0.24633	0.24301
0.03403	4.5	0.25141	0.24798
0.034607	4.5	0.25643	0.25286
0.035184	4.5	0.26189	0.25796
0.035761	4.5	0.26756	0.26339
0.036337	4.5	0.27343	0.26906
0.036913	4.5	0.28	0.27511
0.037487	4.5	0.28696	0.28109
0.038062	4.5	0.29419	0.28709
0.038635	4.5	0.30154	0.29296
0.039209	4.5949	0.31257	0.32489
0.039769	4.6978	0.32442	0.35399
0.040317	4.6974	0.33125	0.35928
0.040865	4.6963	0.33764	0.36399
0.041412	4.6959	0.34366	0.36897
0.041958	4.6959	0.35	0.37436
0.042504	4.6962	0.35723	0.38151
0.043049	4.6959	0.36855	0.38768
0.043594	4.6958	0.37783	0.39406
0.044139	4.6953	0.38564	0.40098
0.044682	4.7887	0.39932	0.43837
0.045215	4.9091	0.41697	0.47735
0.045734	4.9085	0.42699	0.48283
