coord_um_t_5ps	rho_g_cc_t_5ps	Te_eV_t_5ps	Ti_eV_t_5ps
0	2.2	0.040774	0.047518
0.00052291	2.2	0.041283	0.048067
0.0010406	2.2	0.041801	0.04861
0.0015531	2.2	0.04229	0.049048
0.0020605	2.2	0.042809	0.049612
0.0025628	2.2	0.043348	0.050228
0.0030601	2.2	0.043895	0.050859
0.0035524	2.2	0.044412	0.051341
0.0040398	2.2	0.044966	0.05193
0.0045223	2.2	0.045488	0.052487
0.005	4.5	0.045458	0.049142
0.005606799999999999	4.5	0.046081	0.049778
0.0062129	4.5	0.046727	0.050443
0.0068185	4.5	0.047373	0.051016
0.0074235	4.5	0.048049	0.051723
0.0080278	4.5	0.048738	0.05245
0.0086316	4.5	0.049441	0.053198
0.0092347	4.5	0.050158	0.05395
0.0098373	4.5	0.050894	0.054711
0.010439	4.5	0.051675	0.055536
0.011041	4.5	0.052484	0.056367
0.011641	4.5	0.053368	0.057218
0.012241	4.5	0.054262	0.058085
0.012841	4.5	0.0552	0.058998
0.01344	4.5	0.056126	0.059904
0.014038	4.5	0.05704	0.06081
0.014636	4.5	0.057896	0.061668
0.015233	4.5	0.058828	0.062601
0.01583	4.5	0.059758	0.063553
0.016426	4.5	0.060689	0.064511
0.017021	4.5	0.061623	0.065485
0.017616	4.5	0.06256	0.06647400000000001
0.01821	4.5	0.063648	0.067569
0.018803	4.5	0.064709	0.068664
0.019396	4.5	0.06580900000000001	0.069758
0.019989	4.5	0.066996	0.070884
0.020581	4.5	0.068164	0.072017
0.021172	4.5	0.069372	0.07319100000000001
0.021762	4.5	0.07069400000000001	0.07443
0.022352	4.5	0.071996	0.075668
0.022942	4.5	0.073292	0.076929
0.023531	4.5	0.074616	0.078225
0.024119	4.5	0.075963	0.079553
0.024707	4.5	0.07735599999999999	0.08091
0.025294	4.5	0.07878	0.082298
0.02588	4.5	0.08023	0.083727
0.026466	4.5	0.081703	0.085189
0.027051	4.5	0.083189	0.08667900000000001
0.027636	4.5	0.084665	0.088464
0.02822	4.5	0.086117	0.08996700000000001
0.028804	4.5	0.087552	0.091448
0.029387	4.5	0.08902400000000001	0.093004
0.029969	4.5	0.090654	0.094648
0.030551	4.5	0.092434	0.096358
0.031132	4.5	0.09424200000000001	0.098077
0.031713	4.5	0.096109	0.099838
0.032293	4.5	0.098036	0.10166
0.032872	4.5	0.10008	0.1033
0.033451	4.5	0.10216	0.1052
0.03403	4.5	0.10413	0.10701
0.034607	4.5	0.10622	0.10894
0.035184	4.5	0.10827	0.11085
0.035761	4.5	0.11028	0.11276
0.036337	4.5	0.1124	0.11479
0.036913	4.5	0.11452	0.11683
0.037487	4.5	0.11663	0.11888
0.038062	4.5	0.11888	0.12107
0.038635	4.5	0.12108	0.12322
0.039209	4.5	0.12325	0.1254
0.039781	4.5	0.12552	0.12768
0.040353	4.5	0.1279	0.1301
0.040925	4.5	0.13023	0.13255
0.041495	4.5	0.13257	0.13495
0.042066	4.5	0.13539	0.13758
0.042635	4.5	0.13827	0.14028
0.04320500000000001	4.5	0.14113	0.143
0.04377299999999999	4.5	0.14411	0.14584
0.044341	4.5	0.14708	0.14883
0.044909	4.5	0.15077	0.15217
0.045475	4.5	0.15376	0.15538
