coord_um_t_5ps	rho_g_cc_t_5ps	Te_eV_t_5ps	Ti_eV_t_5ps
-0.00036519	2.1141	0.05716	0.0646
0.00017823	2.0976	0.057736	0.06497600000000001
0.00072053	2.0848	0.058387	0.065556
0.0012609	2.0725	0.058894	0.06597799999999999
0.0017995	2.061	0.059482	0.066454
0.0023356	2.0476	0.060005	0.066833
0.0028699	2.0357	0.060667	0.067388
0.003402	2.0175	0.0612	0.067758
0.003933600000000001	1.9988	0.061579	0.067859
0.0044646	1.9628	0.061662	0.067707
0.005	4.5	0.06278499999999999	0.066693
0.005606799999999999	4.5	0.06378	0.067702
0.0062129	4.5	0.064855	0.068816
0.0068185	4.5	0.066	0.069939
0.0074235	4.5	0.067216	0.07109500000000001
0.0080278	4.5	0.06840300000000001	0.072253
0.0086316	4.5	0.069675	0.073475
0.0092347	4.5	0.071023	0.074738
0.0098373	4.5	0.07234400000000001	0.076006
0.010439	4.5	0.073675	0.077302
0.011041	4.5	0.07503600000000001	0.078639
0.011641	4.5	0.076418	0.080002
0.012241	4.5	0.07786700000000001	0.08140500000000001
0.012841	4.5	0.07932500000000001	0.082833
0.01344	4.5	0.080817	0.08430799999999999
0.014038	4.5	0.082325	0.085811
0.014636	4.5	0.083865	0.087425
0.015233	4.5	0.085342	0.08916499999999999
0.01583	4.5	0.086815	0.090698
0.016426	4.5	0.088296	0.092238
0.017021	4.5	0.08982900000000001	0.09387
0.017616	4.5	0.091637	0.09558899999999999
0.01821	4.5	0.09346	0.09733600000000001
0.018803	4.5	0.095345	0.099103
0.019396	4.5	0.09728100000000001	0.10062
0.019989	4.5	0.09932000000000001	0.10252
0.020581	4.5	0.10148	0.10464
0.021172	4.5	0.10351	0.10644
0.021762	4.5	0.1056	0.10836
0.022352	4.5	0.10771	0.11033
0.022942	4.5	0.10978	0.11229
0.023531	4.5	0.11191	0.11432
0.024119	4.5	0.11408	0.1164
0.024707	4.5	0.11624	0.1185
0.025294	4.5	0.1185	0.1207
0.02588	4.5	0.12077	0.12291
0.026466	4.5	0.123	0.12514
0.027051	4.5	0.12529	0.12745
0.027636	4.5	0.12772	0.12992
0.02822	4.5	0.13011	0.13241
0.028804	4.5	0.1325	0.13488
0.029387	4.5	0.13537	0.13756
0.029969	4.5	0.13831	0.14032
0.030551	4.5	0.14124	0.1431
0.031132	4.5	0.14415	0.14588
0.031713	4.5	0.14712	0.14888
0.032293	4.5	0.15085	0.15225
0.032872	4.5	0.15411	0.15576
0.033451	4.5	0.15727	0.15915
0.03403	4.5	0.16065	0.16234
0.034607	4.5	0.164	0.16552
0.035184	4.5	0.16757	0.1688
0.035761	4.5	0.17124	0.17214
0.036337	4.5	0.17502	0.17576
0.036913	4.5	0.17889	0.17846
0.037487	4.5	0.18294	0.18206
0.038062	4.5	0.18702	0.18569
0.038635	4.5	0.19126	0.18942
0.039209	4.5	0.19543	0.19311
0.039781	4.5	0.19932	0.19659
0.040353	4.5	0.20322	0.20006
0.040925	4.5	0.20749	0.20382
0.041495	4.5	0.21175	0.20749
0.042066	4.5	0.21605	0.21134
0.042635	4.5	0.22025	0.21517
0.04320500000000001	4.5	0.22351	0.21916
0.04377299999999999	4.5	0.22667	0.22352
0.044341	4.5	0.23089	0.22809
0.044909	4.5	0.23591	0.2329
0.045475	4.5	0.2409	0.23773
0.046042	4.5	0.24608	0.24274
0.046607	4.5	0.25092	0.24745
0.047173	4.5	0.25577	0.25219
0.04773699999999999	4.5	0.26136	0.25741
0.048301	4.5	0.26694	0.26271
0.048865	4.5	0.27277	0.2683
0.04942800000000001	4.5	0.2791	0.27414
0.04999	4.5	0.28592	0.28004
0.05055200000000001	4.5	0.29339	0.28593
0.051113	4.5	0.30048	0.29166
0.051674	4.5	0.30658	0.29763
0.052234	4.6473	0.31991	0.33993
0.052776	4.7055	0.32912	0.35646
0.05331	4.7513	0.33732	0.36701
0.053839	4.7674	0.34427	0.3738
0.054366	4.7642	0.35083	0.37843
0.054892	4.7566	0.35998	0.38421
0.055419	4.7454	0.36889	0.38852
0.055946	4.7322	0.37649	0.3931
0.056474	4.7147	0.38287	0.39847
0.057004	4.7083	0.3905	0.40227
0.057534	4.7082	0.40125	0.40968
0.058064	4.9621	0.4247	0.47519
0.058566	4.8918	0.42605	0.47824
0.059074	5.0529	0.44203	0.53568
0.059566	5.3692	0.47582	0.53646
0.060028	4.988	0.45985	0.49572
0.060526	4.9818	0.46852	0.50263
0.061023	4.9727	0.47904	0.50754
0.061521	4.9703	0.48977	0.51522
0.062018	4.9656	0.49787	0.52222
0.062516	4.96	0.50717	0.52916
0.063014	4.9528	0.51749	0.53589
0.063511	4.9481	0.52844	0.54418
0.064009	4.9428	0.54049	0.55155
0.06450699999999999	4.9396	0.54993	0.55923
